Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
load_ntsync                                                     77       3.24       3.53       4.40       3.48
load_ec_sys                                                     77       3.09       3.53       4.50       3.38
proxypilot_config                                               77       3.03       3.49       6.47       3.36
install_transmission                                            77       2.94       3.40       4.53       3.67
install_snapper                                                 77       2.97       3.39       4.77       3.29
install_music_analysis_pydeps                                   77       3.05       3.37       4.16       3.34
build_neg_pretty_printer                                        77       2.86       3.36       4.29       3.24
multilib_repo                                                   77       2.83       3.35       4.01       3.05
btrfs_compress_home                                             77       2.92       3.34       3.85       3.43
build_iosevka_neg_fonts                                         77       2.77       3.33       4.27       3.15
install_greetd                                                  77       2.97       3.29       3.91       3.46
install_pkg_desktop                                             77       2.71       3.29      27.13       2.88
install_pkg_aur_vimiv_qt                                        77       2.56       3.29      41.57       2.59
build_albumdetails                                              77       2.66       3.28       4.03       2.79
install_pkg_aur_no_more_secrets                                 77       2.59       3.26      31.07       2.60
system_keymap                                                   77       2.86       3.26       4.33       3.23
build_raise                                                     77       2.79       3.24       3.86       2.98
build_taoup                                                     77       2.63       3.23       3.82       2.82
build_richcolors                                                77       2.71       3.21       3.93       2.78
install_avahi                                                   77       2.80       3.20       3.92       3.92
install_pkg_base                                                77       2.79       3.19       4.25       3.38
install_mandoc                                                  32       2.82       3.16       4.99       3.18
openclaw_health_script                                          18       2.70       3.15       5.87       2.89
install_llama_cpp_vulkan                                        77       2.82       3.13       5.92       3.15
install_jetbrains_mono_nerd                                     77       2.73       3.11       3.75       3.20
btrfs_compress_var                                              77       2.83       3.10       3.91       2.97
install_liberation_fonts                                        77       2.59       3.10      26.05       2.90
install_pipewire_audio                                          77       2.69       3.08       4.47       3.17
install_pkg_aur_cmake_language_server                           77       2.63       3.08      14.63       2.67
install_sysstat                                                 77       2.70       3.07       4.01       3.27
kanata_service_daemon_reload                                    77       0.00       3.06     235.44       0.00
steam_skin_link_1                                               44       2.63       3.06       3.69       2.88
steam_skin_link_3                                               44       2.59       3.03       4.32       3.01
install_libvirt                                                 77       2.67       3.02       3.44       3.31
install_sc3_plugins                                             77       2.60       3.01      11.14       2.91
vulkan_radeon_pkg                                               77       2.73       3.01       3.65       2.84
steam_skin_link_4                                               44       2.55       2.99       4.94       3.00
install_hyprland_desktop                                        77       2.62       2.97       4.63       3.23
steam_skin_link_2                                               44       2.64       2.97       3.55       3.06
install_antigravity                                             77       2.67       2.96       3.45       3.01
install_vnstat                                                  77       2.63       2.96       3.56       3.19
install_pkg_aur_pup_bin                                         77       2.54       2.95      12.48       2.83
salt_monitor_watchdog_service_daemon_reload                     76       0.00       2.95     112.74       0.00
limine_multiprofile_check                                       78       2.66       2.94       3.81       3.03
install_grafana                                                 77       2.67       2.94       3.82       3.35
install_pcsclite                                                77       2.62       2.93       3.73       3.13
steam_pkg                                                       77       2.65       2.93       3.75       3.08
loki_alert_rules                                                76       2.07       2.93       5.11       2.77
install_python_annoy                                            77       2.62       2.91       3.56       3.10
rofi_file_browser_extended                                      77       2.65       2.90       4.35       2.71
install_xdg_termfilechooser                                     77       2.67       2.89       3.49       2.79
install_pipewire_alsa                                           77       2.58       2.88       3.91       2.98
install_icomoon_feather                                         77       2.65       2.88       3.48       2.86
install_wlr_randr                                               77       2.63       2.88       3.40       2.83
install_pkg_aur_pyprland                                        77       2.57       2.88      10.61       2.76
install_p7zip                                                   77       2.64       2.88       3.69       2.81
install_cage                                                    77       2.68       2.87       3.56       3.35
install_overskride                                              77       2.56       2.87       3.35       2.75
install_bottles                                                 77       2.59       2.87       4.45       2.76
mount_one                                                       77       2.48       2.86       3.81       3.22
install_pkg_dev                                                 77       2.63       2.86       3.58       2.71
install_yandex_browser                                          77       2.56       2.86       3.59       2.74
install_supercollider                                           77       2.62       2.86       3.84       2.98
install_wireplumber                                             77       2.60       2.85       3.80       2.76
install_roomeqwizard                                            77       2.55       2.85       4.36       3.00
install_proton_ge                                               77       2.60       2.85       3.60       2.76
limine_flat_boot_entries                                        78       2.64       2.84       3.93       2.80
install_pipewire_pulse                                          77       2.60       2.84       3.68       2.81
install_playerctl                                               77       2.56       2.84       3.75       2.79
install_material_design_icons                                   77       2.58       2.84       3.39       3.07
install_xwaylandvideobridge                                     77       2.59       2.84       3.34       2.70
openclaw_groq_models_migrate                                    81       1.93       2.84      23.11       2.11
install_wlr_which_key                                           77       2.54       2.83       4.65       2.67
install_font_awesome                                            77       2.61       2.83       3.37       2.83
install_material_symbols                                        77       2.60       2.83       3.32       3.10
install_pkg_aur_dcfldd                                          77       2.55       2.83       6.71       2.61
install_pkg_aur_rofi_file_browser_extended_git                  77       2.64       2.83       3.37       2.77
install_pipewire_jack                                           77       2.57       2.82       3.77       2.68
install_alsa_utils                                              77       2.57       2.82       4.03       2.77
install_screenshot_tools                                        77       2.57       2.82       3.50       2.98
install_noto_fonts                                              77       2.59       2.82       3.58       2.82
install_ibm_plex                                                77       2.58       2.82       3.33       3.03
install_noto_fonts_emoji                                        77       2.61       2.81       3.27       2.80
install_pkg_aur_carapace_bin                                    77       2.58       2.81       3.57       2.65
install_pkg_aur_iosevka_neg_fonts                               77       2.58       2.81       3.50       2.63
install_pkg_aur_jdupes                                          77       2.55       2.81       3.52       2.97
install_pkg_aur_lutgen_bin                                      77       2.56       2.81       4.02       2.89
install_pkg_aur_tessen                                          77       2.58       2.81       3.33       2.75
install_flatpak                                                 77       2.51       2.81       3.45       2.88
install_haskell_tidal                                           77       2.59       2.81       3.21       2.83
install_pkg_network                                             77       2.58       2.80       3.30       2.76
install_pkg_fonts                                               77       2.60       2.80       3.33       2.73
install_ghc                                                     77       2.56       2.80       3.14       2.91
install_noto_fonts_extra                                        77       2.59       2.79       3.58       2.81
install_pkg_other                                               77       2.57       2.79       3.55       2.74
install_pkg_aur_amneziawg_dkms                                  77       2.60       2.79       3.32       2.66
install_pkg_aur_brutefir                                        77       2.57       2.79       3.73       2.73
install_pkg_aur_hw_probe                                        77       2.56       2.79       3.49       2.66
install_pkg_aur_salt                                            77       2.54       2.79       3.49       2.61
install_pkg_aur_scc                                             77       2.54       2.79       3.67       3.38
install_pkg_aur_ttfautohint                                     77       2.57       2.79       3.32       2.67
install_pkg_aur_unflac                                          77       2.56       2.79       3.88       2.58
etckeeper_init                                                  77       2.45       2.78       4.07       2.60
install_rsync                                                   77       2.57       2.78       3.36       3.16
install_inter_font                                              77       2.58       2.78       3.31       2.82
install_pkg_audio                                               77       2.57       2.78       3.35       2.76
install_pkg_aur_advancecomp                                     77       2.56       2.78       3.63       2.77
install_pkg_aur_albumdetails                                    77       2.57       2.78       3.58       2.64
install_pkg_aur_amneziawg_tools                                 77       2.61       2.78       3.55       2.66
install_pkg_aur_blktrace                                        77       2.57       2.78       3.58       2.92
install_pkg_aur_ddccontrol                                      77       2.58       2.78       3.90       2.69
install_pkg_aur_gitbutler_bin                                   77       2.58       2.78       3.35       2.64
install_pkg_aur_git_extras                                      77       2.57       2.78       3.63       2.62
install_pkg_aur_massren                                         77       2.54       2.78       3.42       2.78
install_pkg_aur_neg_pretty_printer                              77       2.56       2.78       3.57       2.66
install_pkg_aur_python_rapidgzip                                77       2.57       2.78       3.35       2.64
install_pkg_aur_richcolors                                      77       2.59       2.78       4.05       2.61
install_pkg_aur_vicinae                                         77       2.57       2.78       3.48       2.59
install_pkg_aur_vmtouch                                         77       2.54       2.78       3.40       2.63
install_localsend                                               77       2.56       2.77       3.31       2.70
install_pkg_aur_act_bin                                         77       2.55       2.77       3.48       3.11
install_pkg_aur_dualsensectl                                    77       2.56       2.77       3.12       3.00
install_pkg_aur_freeze_bin                                      77       2.59       2.77       3.85       2.63
install_pkg_aur_hy3                                             77       2.55       2.77       3.75       2.58
install_pkg_aur_mpdas                                           77       2.56       2.77       3.64       2.72
install_pkg_aur_newsraft                                        77       2.57       2.77       3.41       2.63
install_pkg_aur_opencode_bin                                    77       2.55       2.77       3.13       2.60
install_pkg_aur_taoup                                           77       2.52       2.77       3.35       2.69
install_chromium                                                77       2.52       2.76       3.23       2.65
install_pkg_aur_gram_editor_git                                 77       2.60       2.76       3.46       2.70
